Tên Chung Cư,Số,Ngõ,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích ( m²),Mức giá ( tỷ),Hướng nhà,Hướng ban công,Phòng ngủ,Toilet,,,,,,,,,
 Sunrise City, ,,12,Tân Hưng, Quận 7,85,2.95,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
Green River quận 8,2225,, Phạm Thế Hiển,6, Quận 8,106,3.5,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Oriental Plaza, ,, Âu Cơ,Tân Thành, Tân Phú,138,16,"Đông - Bắc
","Tây - Nam
",3,,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,138,16,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,92,4.9,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,59,1.95,"Đông - Bắc
","Tây - Nam
",2,,,,,,,,,,
 Vinhomes Grand Park quận 9, ,, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,69,2.35,"Đông - Bắc
","Tây - Nam
",2,1,,,,,,,,,
 Vinhomes Grand Park, ,,1,Long Thạnh Mỹ, Quận 9,80,3.6,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,157,25.5,"Đông - Nam
","Tây - Bắc
",4,2,,,,,,,,,
 Vinhomes Golden River Ba Son,,,,, Quận 1,140,5.9,"Đông - Nam
","Tây - Bắc
",3,3,,,,,,,,,
 The Vista An Phú, ,, Xa Lộ Hà Nội,An Phú, Quận 2,67,2.5,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Safira Khang Điền, ,, Võ Chí Công,Phú Hữu, Quận 9,115,4.55,"Tây
 
 
 
 ","Đông
 
 
 ",3,2,,,,,,,,,
 An Gia Riverside, ,, Đào Trí,Phú Thuận, Quận 7,76,3.6,"Tây - Nam
 ","Tây - Nam
",2,2,,,,,,,,,
 Him Lam Riverside, ,, D1,Tân Hưng, Quận 7,74,2.65,"Đông
 
 
 
","Tây
 
 
 
",2,2,,,,,,,,,
 Diamond Riverside, ,, Võ Văn Kiệt,16, Quận 8,35,1.5,"Tây - Nam
 ","Đông
 
 
 ",1,2,,,,,,,,,
 M-One Nam Sài Gòn, ,, Bế Văn Cấm,Tân Kiểng, Quận 7,69,1.75,"Tây - Nam
 ","Đông
 
 
 ",2,1,,,,,,,,,
Đường Dương Thị Giang,,, Dương Thị Giang,Tân Thới Nhất, Quận 12,237,22.5,"Tây - Nam
 ","Đông
 
 
 ",3,2,,,,,,,,,
 Diamond Island,,,,Bình Trưng Tây, Quận 2,135,6,"Tây - Nam
 ",Đông - Bắc,2,3,,,,,,,,,
 The Vista An Phú, ,, Xa Lộ Hà Nội,An Phú, Quận 2,90,2.57,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
Chung cư Phúc Yên,33,, Phan Huy Ích,15, Tân Bình,68,4.3,"Tây - Nam
 ",Đông - Bắc,1,2,,,,,,,,,
 City Garden, ,, Ngô Tất Tố,21, Bình Thạnh,73,4.95,"Đông - Nam
",Đông - Bắc,2,1,,,,,,,,,
 Kingdom 101, ,, Tô Hiến Thành,14, Quận 10,80,5.6,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Glory Heights - Vinhomes Grand Park, ,, Nguyễn Xiển,Long Bình, Quận 9,136,12.5,ĐôngĐặc điể,"Đông
 
 
 ",3,2,,,,,,,,,
 City Garden, ,, Ngô Tất Tố,21, Bình Thạnh,138,16,ĐôngĐặc điể,"Đông
 
 
 ",3,2,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,138,16,ĐôngĐặc điể,"Đông
 
 
 ",3,2,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,70,2.5,ĐôngĐặc điể,"Đông
 
 
 ",2,2,,,,,,,,,
 Melody Residences 16 Âu Cơ, ,, Âu Cơ,Tân Sơn Nhì, Tân Phú,65.4,2.616,ĐôngĐặc điể,"Đông
 
 
 ",2,2,,,,,,,,,
 MT Eastmark City, ,, Trường Lưu,Long Trường, Quận 9,89,3.77,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Sky 89, ,, Hoàng Quốc Việt,Phú Thuận, Quận 7,106,4.5,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Sunrise City, ,, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,162.5,7.8,"Tây
 
 
 
 ",Đông - Nam,3,2,,,,,,,,,
 The Horizon Phú Mỹ Hưng, ,, Trần Văn Trà,Tân Phú, Quận 7,82,3.2,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Him Lam Riverside, ,, D1,Tân Hưng, Quận 7,74.3,4.004,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Lumiere Boulevard, ,, Nguyễn Xiển,Long Bình, Quận 9,65.4,2.5,"Nam
 
 
 
 ","Bắc
 
 
 
",1,,,,,,,,,,
 MT Eastmark City, ,, Lò Lu,Long Trường, Quận 9,100,5,"Đông
 
 
 
","Nam
 
 
 
",1,1,,,,,,,,,
 Horizon, ,, Trần Quang Khải,Tân Định, Quận 1,46,1.65,"Đông
 
 
 
","Nam
 
 
 
",2,2,,,,,,,,,
 Glory Heights - Vinhomes Grand Park, ,, Nguyễn Xiển,Long Bình, Quận 9,68,1.876,"Đông
 
 
 
","Nam
 
 
 
",2,2,,,,,,,,,
 Aurora Residences, ,, Bến Bình Đông,15, Quận 8,68,2.85,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Chung cư 312 Lạc Long Quân, ,, Lạc Long Quân,5, Quận 11,110,3.5,"Tây - Bắc
 ",Đông - Nam,3,1,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,95,5.9,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,82,4.6,Đông - Nam,,2,2,,,,,,,,,
 Vinhomes Central Park, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,83,2.7,Đông - Nam,,2,2,,,,,,,,,
Oriental Plaza,685,, Âu Cơ,Tân Thành, Tân Phú,70,2.5,Đông - Nam,,2,2,,,,,,,,,
Melody Residences 16 Âu Cơ,869,, Âu Cơ,Tân Sơn Nhì, Tân Phú,50,4.9,Đông - Nam,,1,2,,,,,,,,,
 Vinhomes Golden River Ba Son,,,,, Quận 1,65,2.68,"Đông
 
 
 
","Đông
 
 
 ",2,,,,,,,,,,
 Sky 89, ,, Hoàng Quốc Việt,Phú Thuận, Quận 7,88.5,3.15,"Đông
 
 
 
","Đông
 
 
 ",3,2,,,,,,,,,
 The Western Capital, ,, Lý Chiêu Hoàng,"10, Quận 6",,50,1.35,"Đông
 
 
 
","Đông
 
 
 ",1,2,,,,,,,,,
 EHome 3, ,, Hồ Học Lãm,An Lạc, Bình Tân,99,4.7,"Đông
 
 
 
","Đông
 
 
 ",2,1,,,,,,,,,
 Sunrise City, ,, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,112,4.9,"Đông
 
 
 
","Đông
 
 
 ",3,,,,,,,,,,
 Sunrise City, ,, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,71,3.18,"Đông
 
 
 
","Đông
 
 
 ",2,,,,,,,,,,
 Celadon City, ,, N1,Sơn Kỳ, Tân Phú,50,1.8,"Đông
 
 
 
","Đông
 
 
 ",2,2,,,,,,,,,
 The Western Capital, ,, Lý Chiêu Hoàng,10, Quận 6,53,1.95,Đông - Nam,,1,1,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,90,1.65,Đông - Nam,,2,1,,,,,,,,,
 The Era Town, ,, 15B,Phú Mỹ, Quận 7,73,1.9,Đông - Nam,,2,2,,,,,,,,,
City Gate Towers,15,, Võ Văn Kiệt,16, Quận 8,83,5.1,Đông - Nam,,2,2,,,,,,,,,
 Vinhomes Central Park, ,, Điện Biên Phủ,22, Bình Thạnh,120,8.1,Đông - Nam,,3,2,,,,,,,,,
 Vinhomes Central Park, ,, Điện Biên Phủ,22, Bình Thạnh,72,3.2,Đông - Nam,,2,2,,,,,,,,,
