Tên Chung Cư,Số,Ngõ,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích ( m²),Mức giá ( tỷ),Hướng nhà,Hướng ban công,Phòng ngủ,Toilet,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,48,1.78,"Đông - Nam
",Đông - Nam,2,2,,,,,,,,,
The Western Capital,116,, Lý Chiêu Hoàng,10, Quận 6,115,10.9,"Tây - Bắc
 ","Tây - Nam
",3,1,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,85,1.75,"Tây - Bắc
 ","Tây - Nam
",2,2,,,,,,,,,
 The Era Town, ,, 15B,Phú Mỹ, Quận 7,85,9.26,"Tây - Bắc
 ","Tây - Nam
",2,3,,,,,,,,,
 The Horizon Phú Mỹ Hưng, ,, Trần Văn Trà,Tân Phú, Quận 7,72,4,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Khu phức hợp 152 Điện Biên Phủ, ,, Điện Biên Phủ,25, Bình Thạnh,107,8.6,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 The Antonia, ,, Nguyễn Lương Bằng,Tân Phú, Quận 7,87,6.5,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 HaDo Centrosa Garden, ,, 3/2,12, Quận 10,71,2.7,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Carillon 7, ,, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,80,6,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 The Peak,,,,"Tân Phú, Quận 7",,80,6.3,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 The Peak,,,,Tân Phú, Quận 7,194,15.2,"Tây - Nam
 ",Đông - Bắc,5,2,,,,,,,,,
 The Antonia, ,, Nguyễn Lương Bằng,Tân Phú, Quận 7,75,4.8,"Đông - Nam
","Tây - Bắc
",2,4,,,,,,,,,
Masteri Millennium,132,, Bến Vân Đồn,6, Quận 4,80,3.3,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Riva Park, ,, Nguyễn Tất Thành,18, Quận 4,82,6,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 The Antonia, ,, Nguyễn Lương Bằng,Tân Phú, Quận 7,84,4.1,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Celadon City, ,, N1,Sơn Kỳ, Tân Phú,82,3.8,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
The Gold View,346,, Bến Vân Đồn,1, Quận 4,86,6.5,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 HaDo Centrosa Garden, ,, 3/2,12, Quận 10,71,3.2,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Celadon City, ,, N1,Sơn Kỳ, Tân Phú,76,3.2,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,76,3.2,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50,1.85,Đông - Nam,"Nam
 
 
 
",2,2,,,,,,,,,
 The Western Capital, ,, Lý Chiêu Hoàng,10, Quận 6,129,2.85,Đông - Nam,"Nam
 
 
 
",3,1,,,,,,,,,
 Phú Hoàng Anh, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,70,2.95,"Tây
 
 
 
 ","Nam
 
 
 
",2,3,,,,,,,,,
 Sunrise Riverside, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,94,3.67,"Tây
 
 
 
 ","Nam
 
 
 
",3,4,,,,,,,,,
 Sunrise Riverside, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,65,3.6,"Tây
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 The Gold View, ,, Bến Vân Đồn,1, Quận 4,77,3.8,"Tây
 
 
 
 ","Nam
 
 
 
",2,1,,,,,,,,,
 The Gold View, ,, Bến Vân Đồn,1, Quận 4,86,3.6,"Tây
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Him Lam Chợ Lớn, ,, Hậu Giang,, Quận 6,64,1.77,"Tây
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 EHome 3, ,, Hồ Học Lãm,An Lạc, Bình Tân,72,2.65,"Tây
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
Diamond Riverside,1646,, Võ Văn Kiệt,16, Quận 8,133,21,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,An Khánh, Quận 2,80,3.6,"Nam
 
 
 
 ","Bắc
 
 
 
",2,,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,88,3.25,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 Sky Garden I, ,, Phạm Văn Nghị,Tân Phong, Quận 7,97,2,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 The Era Town, ,, Phạm Hữu Lầu,Phú Mỹ, Quận 7,127,3.1,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 Belleza Apartment, ,, Phạm Hữu Lầu,Phú Mỹ, Quận 7,71,1.53,"Nam
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Saigon Asiana, ,, Nguyễn Văn Luông,12, Quận 6,86,1.56,"Nam
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
Tản Đà Court,86,, Tản Đà,11, Quận 5,99,4.35,"Nam
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
Riviera Point,2,, Nguyễn Văn Tưởng,Tân Phú, Quận 7,140,7.2,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 The Vista An Phú, ,, Xa Lộ Hà Nội,An Phú, Quận 2,100.8,7.45,"Đông - Nam
","Tây - Bắc
",3,,,,,,,,,,
 Cardinal Court,,,,Tân Phú, Quận 7,76,3.2,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,76,3.2,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,134,6.7,Đông - Nam,,2,2,,,,,,,,,
 Tropic Garden, ,,66,Thảo Điền, Quận 2,235,36.9,"Tây - Nam
 ",Đông - Bắc,4,,,,,,,,,,
 D'Edge Thảo Điền, ,, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,182,23.5,"Tây - Nam
 ",Đông - Bắc,4,,,,,,,,,,
 D'Edge Thảo Điền, ,, Nguyễn Văn Hưởng,"Thảo Điền, Quận 2",,145,18,"Tây - Nam
 ",Đông - Bắc,3,,,,,,,,,,
 D'Edge Thảo Điền, ,, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,85,4.446,"Tây - Nam
 ",Đông - Bắc,2,3,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,135,6.6,"Tây - Nam
 ",Đông - Bắc,3,2,,,,,,,,,
 The Vista An Phú, ,, Xa Lộ Hà Nội,"An Phú, Quận 2",,70.1,3.7,"Tây - Nam
 ",Đông - Bắc,2,,,,,,,,,,
 Opal Garden, ,,20,Hiệp Bình Chánh, Thủ Đức,85,4.1,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
Golden King,15,, Nguyễn Lương Bằng,Tân Phú, Quận 7,26,1.27,"Nam
 
 
 
 ","Đông
 
 
 ",1,1,,,,,,,,,
 Central Premium,,,,5, Quận 8,81,3.19,"Nam
 
 
 
 ","Đông
 
 
 ",2,1,,,,,,,,,
 Him Lam Riverside, ,, D1,Tân Hưng, Quận 7,70,3.15,"Nam
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Glory Heights - Vinhomes Grand Park, ,, Nguyễn Xiển,Long Bình, Quận 9,99,4.25,"Nam
 
 
 
 ","Đông
 
 
 ",2,1,,,,,,,,,
 Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,99,4.4,"Bắc
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Riviera Point, ,, Nguyễn Văn Tưởng,Tân Phú, Quận 7,50,1.49,"Bắc
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Hà Đô Riverside, ,, Lê Thị Riêng,Thới An, Quận 12,148,7.5,"Tây - Nam
 ",Đông - Bắc,3,1,,,,,,,,,
 The View Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,148,6.29,"Tây - Nam
 ",Đông - Bắc,3,3,,,,,,,,,
 Riviera Point, ,, Huỳnh Tấn Phát,"Tân Phú, Quận 7",,148,6.29,"Tây - Nam
 ",Đông - Bắc,3,3,,,,,,,,,
 Riviera Point, ,, Huỳnh Tấn Phát,"Tân Phú, Quận 7",,99,4,"Tây - Nam
 ",Đông - Bắc,2,3,,,,,,,,,
 Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,99,4.8,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 Riviera Point, ,, Nguyễn Văn Tưởng,Tân Phú, Quận 7,75,6,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 Phú Mỹ Hưng, ,, Nguyễn Lương Bằng,Tân Phong, Quận 7,92,4.7,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 The View Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,75,1.65,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 Skyway Residence, ,, Nguyễn Văn Linh, Phong Phú, Bình Chánh,77,5.5,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 The Ascentia, ,, Nguyễn Lương Bằng,Tân Phú, Quận 7,44,1.8,Đông - Nam,,1,2,,,,,,,,,
 Centana Thủ Thiêm, ,, Mai Chí Thọ,An Phú, Quận 2,65,1.9,Đông - Nam,,2,1,,,,,,,,,
 Topaz Garden, ,, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,64,3.3,Đông - Nam,,2,2,,,,,,,,,
 Saigon Asiana, ,, Nguyễn Văn Luông,12, Quận 6,140,9.2,Đông - Nam,,3,2,,,,,,,,,
 The Vista An Phú, ,, Xa Lộ Hà Nội,An Phú, Quận 2,37,2.7,"Tây
 
 
 
 ",Đông,1,3,,,,,,,,,
 The Everrich Infinity, ,, An Dương Vương,4, Quận 5,49,3.3,"Tây
 
 
 
 ",ĐôngĐặc đi,1,1,,,,,,,,,
 The Everrich Infinity, ,, An Dương Vương,4, Quận 5,90,3.45,"Tây
 
 
 
 ",ĐôngĐặc đi,2,1,,,,,,,,,
 River Panorama, ,, Hoàng Quốc Việt,Phú Thuận, Quận 7,76,2.79,"Tây
 
 
 
 ",ĐôngĐặc đi,2,1,,,,,,,,,
 Bàu Cát II, ,, Ni Sư Huỳnh Liên,, Tân Bình,57,4,"Tây
 
 
 
 ",ĐôngĐặc đi,2,2,,,,,,,,,
 Paris Hoàng Kim,,,,Bình Khánh, Quận 2,70,1.9,"Tây
 
 
 
 ",ĐôngĐặc đi,2,1,,,,,,,,,
Saigonhomes,819,, Hương lộ 2,Bình Trị Đông A, Bình Tân,53.2,2.102,"Tây
 
 
 
 ",ĐôngĐặc đi,2,2,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,60,3.089,Đông - Nam,,2,1,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,79,2.53,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Topaz Elite, ,, Cao Lỗ,4, Quận 8,79,2.53,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Topaz Elite, ,, Cao Lỗ,4, Quận 8,70,2.35,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
Topaz Elite,232,,,4, Quận 8,121,19,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 Vinhomes Golden River Ba Son,,,,Bến Nghé, Quận 1,85,2.73,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 Topaz Elite, ,, Cao Lỗ,4, Quận 8,60,2.14,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Topaz Elite, ,, Cao Lỗ,4, Quận 8,121,8.89,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 The Infiniti Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,54.33,3.6,"Tây - Bắc
 ","Đông
 
 
 ",1,3,,,,,,,,,
 Avatar Thủ Đức, ,, Số 1,Trường Thọ, Thủ Đức,58,2.65,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,58,3.65,"Nam
 
 
 
 ","Bắc
 
 
 
",2,1,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,61,3.531,"Nam
 
 
 
 ","Bắc
 
 
 
",2,1,,,,,,,,,
 Akari City Nam Long,77,, Võ Văn Kiệt,An Lạc, Bình Tân,55,1.85,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Sài Gòn Gateway, ,, Xa Lộ Hà Nội,Hiệp Phú, Quận 9,124,11,"Đông - Nam
","Tây - Bắc
",3,1,,,,,,,,,
 Midtown Phú Mỹ Hưng,,,,Tân Phú, Quận 7,219,20,"Bắc
 
 
 
 ","Nam
 
 
 
",4,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,78,3.4,Đông - Nam,,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,93,9.9,Đông - Nam,,2,2,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,51,2.3,Đông - Nam,,1,2,,,,,,,,,
 Moonlight Residences, ,, Đặng Văn Bi,Bình Thọ, Thủ Đức,75,5.7,Đông - Nam,,2,1,,,,,,,,,
De La Sol,1,, Tôn Thất Thuyết,1, Quận 4,128,5.6,Đông - Nam,,3,2,,,,,,,,,
 Green Valley, ,, Tôn Dật Tiên,Tân Phú, Quận 7,128,5.6,Đông - Nam,,3,2,,,,,,,,,
 Green Valley, ,, Tôn Dật Tiên,Tân Phú, Quận 7,68,2.8,Đông - Nam,,2,2,,,,,,,,,
 Lavita Charm, ,,1,Trường Thọ, Thủ Đức,53,1.6,Đông - Nam,,1,2,,,,,,,,,
 Lavita Charm, ,,1,Trường Thọ, Thủ Đức,126,7.85,Đông - Nam,,3,1,,,,,,,,,
 Riverpark Residence, ,, Nguyễn Đức Cảnh,Tân Phong, Quận 7,250,6.55,"Nam
 
 
 
 ","Bắc
 
 
 
",4,2,,,,,,,,,
 Phú Mỹ Hưng,,,,Tân Phong, Quận 7,135,5.9,"Nam
 
 
 
 ","Bắc
 
 
 
",3,3,,,,,,,,,
 Happy Valley, ,, Nguyễn Văn Linh,Tân Phong, Quận 7,100,4.85,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 Happy Valley, ,, Nguyễn Văn Linh,Tân Phong, Quận 7,96,2.45,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Hoàng Anh An Tiến - Gold House, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,50,1.35,"Nam
 
 
 
 ","Bắc
 
 
 
",1,2,,,,,,,,,
EHome 3, Số 103,, Hồ Học Lãm,An Lạc, Bình Tân,78,3.55,"Nam
 
 
 
 ","Bắc
 
 
 
",2,1,,,,,,,,,
 Happy Residence,,,,Tân Phú, Quận 7,54,2.25,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 River Panorama, ,, Hoàng Quốc Việt,Phú Thuận, Quận 7,93,2.3,"Đông
 
 
 
","Tây
 
 
 
",2,2,,,,,,,,,
 Ngọc Phương Nam, ,, Âu Dương Lân,2, Quận 8,56,2.35,"Đông
 
 
 
","Tây
 
 
 
",2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,75,1.9,"Đông - Bắc
",Đông - Bắc,3,1,,,,,,,,,
Phú Mỹ Thuận,2398,, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè,33,1.48,"Đông
 
 
 
","Tây
 
 
 
",2,2,,,,,,,,,
 M-One Nam Sài Gòn, ,, Bế Văn Cấm,Tân Kiểng, Quận 7,64,1.32,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Happy City, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,139,8,"Đông - Nam
","Tây - Bắc
",3,1,,,,,,,,,
 Garden Court 1, ,, Tôn Dật Tiên,Tân Phong, Quận 7,121,7,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 The Panorama, ,, Tôn Dật Tiên,Tân Phong, Quận 7,138,13.5,"Đông - Nam
","Tây - Bắc
",4,2,,,,,,,,,
HaDo Centrosa Garden,200,, 3/2,12, Quận 10,138,13.5,"Đông - Nam
","Tây - Bắc
",4,2,,,,,,,,,
HaDo Centrosa Garden,200,, 3/2,12, Quận 10,107,9,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
HaDo Centrosa Garden,200,, 3/2,12, Quận 10,87,7,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
HaDo Centrosa Garden,200,, 3/2,12, Quận 10,53,4.7,"Đông - Bắc
","Tây - Nam
",1,2,,,,,,,,,
HaDo Centrosa Garden,200,, 3/2,12, Quận 10,89,4.5,"Tây - Nam
 ",Đông - Bắc,2,1,,,,,,,,,
 Green Valley, ,, Tôn Dật Tiên,Tân Phú, Quận 7,118,6.1,"Tây - Nam
 ",Đông - Bắc,3,2,,,,,,,,,
 Green Valley, ,, Tôn Dật Tiên,Tân Phú, Quận 7,50,1.96,"Tây - Nam
 ",Đông - Bắc,1,2,,,,,,,,,
 Chung cư Khuông Việt, ,, Khuông Việt,Phú Trung, Tân Phú,123,7.4,"Tây - Nam
 ",Đông - Bắc,3,1,,,,,,,,,
 Saigon Pearl, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,90,5.8,"Tây - Nam
 ",Đông - Bắc,2,2,,,,,,,,,
 Saigon Pearl, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,76,2.3,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Sacomreal-584, ,, Lũy Bán Bích,Phú Thọ Hòa, Tân Phú,53,2.8,"Tây - Bắc
 ",Đông - Nam,1,2,,,,,,,,,
Central Premium,854,,,5, Quận 8,117,6.684,Đông - Nam,,3,1,,,,,,,,,
 Celesta Heights, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,63,1.68,"Tây - Bắc
 ",,2,2,,,,,,,,,
Đường Số 5,,, Số 5,Bình Hưng Hòa, Bình Tân,36,1.89,"Tây - Bắc
 ",,1,2,,,,,,,,,
 Golden Mansion, ,, Phổ Quang,9, Quận Phú Nhuận,51,3.5,"Tây - Bắc
 ","Tây - Nam
",1,1,,,,,,,,,
 The 9 Stellars, ,, Hoàng Hữu Nam,Long Bình, Quận 9,51,3.43,"Tây - Bắc
 ","Tây - Nam
",1,1,,,,,,,,,
 The 9 Stellars, ,, Hoàng Hữu Nam,Long Bình, Quận 9,51,2.95,"Tây - Bắc
 ","Tây - Nam
",1,1,,,,,,,,,
 The 9 Stellars, ,, Hoàng Hữu Nam,Long Bình, Quận 9,75,4.1,"Tây - Bắc
 ","Tây - Nam
",2,1,,,,,,,,,
 HaDo Centrosa Garden, ,, 3/2,12, Quận 10,65,2.8,"Đông - Bắc
","Tây - Nam
",2,,,,,,,,,,
Sky 89, Số 89,, Hoàng Quốc Việt,Phú Thuận, Quận 7,97,8,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Paris Hoàng Kim,,,,Bình Khánh, Quận 2,50,1.35,"Bắc
 
 
 
 ","Nam
 
 
 
",1,3,,,,,,,,,
 EHome 3, ,, Hồ Học Lãm,An Lạc, Bình Tân,67,2.1,"Bắc
 
 
 
 ","Nam
 
 
 
",2,1,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,53,1.95,Đông - Nam,,1,2,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,66.66,2.453,Đông - Nam,,2,1,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,118,4,Đông - Nam,,3,2,,,,,,,,,
 Green View, ,, Nguyễn Lương Bằng,Tân Phú, Quận 7,72,2.3,Đông - Nam,,2,2,,,,,,,,,
 Tân Thịnh Lợi,,,,13, Quận 6,76,3.85,Đông - Nam,,2,2,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,71,3.4,Đông - Nam,,2,,,,,,,,,,
 Scenic Valley 1, ,, Tôn Dật Tiên,Tân Phú, Quận 7,50,2.05,Đông - Nam,,1,2,,,,,,,,,
 Lexington Residence, ,, Mai Chí Thọ,An Phú, Quận 2,65,2.5,Đông - Nam,,2,,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,38,1.95,Đông - Nam,,1,2,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,101,5.25,Đông - Nam,,2,1,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,101,5.7,Đông - Nam,,3,2,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,38,1.9,Đông - Nam,,1,2,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,89,4.9,Đông - Nam,,3,1,,,,,,,,,
The Sun Avenue,28,, Mai Chí Thọ,An Phú, Quận 2,135,7.2,Đông - Nam,,3,2,,,,,,,,,
Saigon Pearl,92,, Nguyễn Hữu Cảnh,22, Bình Thạnh,53,4.3,"Bắc
 
 
 
 ","Nam
 
 
 
",1,2,,,,,,,,,
 Vinhomes Central Park,,,,22, Quận Bình Thạnh,115,2.8,"Bắc
 
 
 
 ","Nam
 
 
 
",3,1,,,,,,,,,
 Chung cư Phúc Yên, ,, Phan Huy Ích,15, Tân Bình,55,3.8,"Bắc
 
 
 
 ","Nam
 
 
 
",1,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,115,2.8,"Bắc
 
 
 
 ","Nam
 
 
 
",3,1,,,,,,,,,
 Chung cư Phúc Yên, ,, Phan Huy Ích,15, Tân Bình,55,3.8,"Bắc
 
 
 
 ","Nam
 
 
 
",1,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,87,4.5,"Bắc
 
 
 
 ","Nam
 
 
 
",2,1,,,,,,,,,
 Tropic Garden, ,,66,Thảo Điền, Quận 2,81,2.4,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Hoàng Kim Thế Gia, ,, Trương Phước Phan,"Bình Trị Đông, Bình Tân",,108,14,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
Zenity, Số 608,, Võ Văn Kiệt,Cầu Kho, Quận 1,69,3.9,"Tây - Bắc
 ","Tây - Bắc
",2,2,,,,,,,,,
 M-One Gia Định, ,, Nguyễn Bỉnh Khiêm,1, Gò Vấp,157,26,"Tây - Bắc
 ",Đông - Nam,4,2,,,,,,,,,
 Vinhomes Golden River Ba Son,,,,Bến Nghé, Quận 1,82.4,2.8,"Bắc
 
 
 
 ","Nam
 
 
 
",3,3,,,,,,,,,
 Hoàng Kim Thế Gia, ,, Trương Phước Phan,Bình Trị Đông, Bình Tân,94,3.7,"Nam
 
 
 
 ","Bắc
 
 
 
",3,2,,,,,,,,,
 M-One Nam Sài Gòn, ,, Bế Văn Cấm,Tân Kiểng, Quận 7,58,4.2,"Tây - Bắc
 ",Đông - Bắc,1,2,,,,,,,,,
 Feliz En Vista, ,, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,62,2.1,"Tây - Bắc
 ",Đông - Bắc,2,1,,,,,,,,,
 Hoàng Kim Thế Gia, ,, Trương Phước Phan,Bình Trị Đông, Bình Tân,75,2.6,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
Carillon 5,262,, Lũy Bán Bích,Hòa Thạnh, Tân Phú,75,5.1,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Garden Gate, ,, Hoàng Minh Giám,9, Phú Nhuận,129,17.3,"Tây - Bắc
 ",Đông - Bắc,3,,,,,,,,,,
 The Marq, ,, Nguyễn Đình Chiểu,Đa Kao, Quận 1,106,9.11,"Tây - Bắc
 ",Đông - Bắc,3,2,,,,,,,,,
 Sunwah Pearl, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,89,5.3,"Tây - Bắc
 ",Đông - Bắc,2,2,,,,,,,,,
 Saigon Pearl, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,86,4.6,"Đông - Bắc
","Nam
 
 
 
",2,2,,,,,,,,,
 Saigon Pearl, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,68,11.8,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 The Grand Manhattan, ,, Cô Giang,Cô Giang, Quận 1,84,6.2,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Midtown Phú Mỹ Hưng,,,,Tân Phú, Quận 7,122,12.4,"Tây
 
 
 
 ","Đông
 
 
 ",3,2,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,122,12.4,"Tây
 
 
 
 ","Đông
 
 
 ",3,3,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,92,6.5,"Tây
 
 
 
 ","Đông
 
 
 ",3,3,,,,,,,,,
 River Gate, ,, Bến Vân Đồn,6, Quận 4,80,6.5,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Midtown Phú Mỹ Hưng,,,,Tân Phú, Quận 7,122,13,"Tây - Bắc
 ",Đông - Nam,3,2,,,,,,,,,
 Q2 Thảo Điền,,,,, Quận 2,96,3.6,"Tây - Bắc
 ",Đông - Nam,3,2,,,,,,,,,
 Lavida Plus, ,, Nguyễn Văn Linh,Tân Phong, Quận 7,85,6.5,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Feliz En Vista, ,, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,100,11,"Đông - Bắc
",Đông - Nam,3,2,,,,,,,,,
 Q2 Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,47,1.799,"Đông - Bắc
",Đông - Nam,1,2,,,,,,,,,
 Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,31,1.29,"Tây - Bắc
 ",Đông - Nam,1,1,,,,,,,,,
 Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,56,1.68,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 Căn hộ Ricca Quận 9, ,, Gò Cát,Phú Hữu, Quận 9,100,5.45,"Tây - Nam
 ",Đông - Bắc,3,1,,,,,,,,,
