Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 MT Eastmark City, Lò Lu,Long Trường, Quận 9,100.00,5,1.00,1
 Horizon, Trần Quang Khải,Tân Định, Quận 1,46.00,1.65,2.00,2
 Glory Heights - Vinhomes Grand Park, Nguyễn Xiển,Long Bình, Quận 9,68.00,1.876,2.00,2
 Aurora Residences, Bến Bình Đông,15, Quận 8,68.00,2.85,2.00,2
 Chung cư 312 Lạc Long Quân, Lạc Long Quân,5, Quận 11,110.00,3.5,3.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,95.00,5.9,2.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,82.00,4.6,2.00,2
 Vinhomes Central Park, Nguyễn Hữu Cảnh,22, Bình Thạnh,83.00,2.7,2.00,2
Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,70.00,2.5,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,50.00,4.9,1.00,2
 Vinhomes Golden River Ba Son,,, Quận 1,65.00,2.68,2.00,
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,88.50,3.15,3.00,2
 The Western Capital, Lý Chiêu Hoàng,"10, Quận 6",,50.00,1.35,1.00,2
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,99.00,4.7,2.00,1
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,112.00,4.9,3.00,
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,71.00,3.18,2.00,
 Celadon City, N1,Sơn Kỳ, Tân Phú,50.00,1.8,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,53.00,1.95,1.00,1
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,90.00,1.65,2.00,1
 The Era Town, 15B,Phú Mỹ, Quận 7,73.00,1.9,2.00,2
City Gate Towers, Võ Văn Kiệt,16, Quận 8,83.00,5.1,2.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,120.00,8.1,3.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,72.00,3.2,2.00,2
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,69.00,3.1,2.00,2
 Florita Đức Khải,,Tân Hưng, Quận 7,124.00,10.8,2.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,106.00,11.8,2.00,
 The Horizon Phú Mỹ Hưng, Trần Văn Trà,Tân Phú, Quận 7,106.00,11.8,2.00,2
 The Horizon Phú Mỹ Hưng, Trần Văn Trà,Tân Phú, Quận 7,45.00,1.55,1.00,2
 La Astoria, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,104.00,6.8,2.00,
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,75.00,2.8,2.00,2
 Homyland Riverside, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,85.00,5.1,3.00,2
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,64.00,1.8,2.00,2
 Dream Home,59,14, Gò Vấp,80.00,4.3,2.00,2
Khu phức hợp 152 Điện Biên Phủ, Điện Biên Phủ,25, Bình Thạnh,55.00,1,2.00,2
 HQC Plaza, Nguyễn Văn Linh, An Phú Tây, Bình Chánh,140.00,7.8,3.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,65.00,2.85,2.00,3
RichStar, Hòa Bình,Hiệp Tân, Tân Phú,105.00,5.6,2.00,2
Horizon, Trần Quang Khải,Tân Định, Quận 1,115.00,7,2.00,2
 The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,50.00,1.45,1.00,1
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,59.30,2.414,2.00,1
 The Origami, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,78.00,2.25,2.00,2
 Fortuna - Vườn Lài, Vườn Lài,Phú Thọ Hòa, Tân Phú,123.00,9,3.00,2
 Riverpark Residence, Nguyễn Đức Cảnh,Tân Phong, Quận 7,35.98,1.6,1.00,2
Moonlight Centre Point, Tên Lửa,Bình Trị Đông, Bình Tân,72.00,2.75,2.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,78.00,3.1,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,82.00,4.3,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,71.00,4.914,2.00,2
 De La Sol, Tôn Thất Thuyết,1, Quận 4,71.00,4.914,2.00,2
 De La Sol, Tôn Thất Thuyết,1, Quận 4,85.00,4.9,2.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,70.00,4.9,2.00,2
De La Sol, Tôn Thất Thuyết,1, Quận 4,83.00,5.3,2.00,2
 Diamond Island,1,Bình Trưng Tây, Quận 2,115.00,5.8,3.00,2
 Imperia An Phú,,An Phú, Quận 2,67.00,5.445,1.00,2
 De La Sol, Tôn Thất Thuyết,1, Quận 4,53.00,2.58,2.00,1
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,70.30,4.2,2.00,1
 Vinhome Grand Park Solari,,Long Thạnh Mỹ, Quận 9,65.00,2.25,2.00,2
 Dream Home, Phạm Văn Chiêu,14, Gò Vấp,60.00,2.4,2.00,2
 The Pegasuite,,6, Quận 8,64.00,9,2.00,1
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,49.00,1.73,1.00,2
 The Origami, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,91.00,4.9,2.00,1
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,162.65,6.3,4.00,2
 Hoàng Anh River View, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,175.00,11.2,5.00,4
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,71.00,3.22,2.00,5
 Celadon City, N1,Sơn Kỳ, Tân Phú,85.00,4.3,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,183.00,29.28,4.00,2
 Zeit River Thủ Thiêm ,,An Khánh, Quận 2,75.00,4.79,2.00,4
 The Tresor, Bến Vân Đồn,12, Quận 4,93.00,5.4,3.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,110.00,18,3.00,2
 Vinhomes Golden River Ba Son,,, Quận 1,50.00,1.6,2.00,3
 Sky 9, Liên Phường,Phú Hữu, Quận 9,70.30,4,2.00,1
Eco Green Sài Gòn,,Tân Thuận Tây, Quận 7,50.00,1.45,1.00,2
 Belleza Apartment, Phạm Hữu Lầu,Phú Mỹ, Quận 7,71.00,2.68,2.00,1
Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,82.00,3.2,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,71.00,2.1,2.00,2
Đường Phạm Văn Đồng, Phạm Văn Đồng,Linh Đông, Thủ Đức,56.00,1,2.00,2
 Avatar Thủ Đức, Vành Đai 2,Trường Thọ, Thủ Đức,86.00,6.5,2.00,2
 The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,66.00,2.7,2.00,2
 Moonlight Avenue, Vành Đai 2,Trường Thọ, Thủ Đức,90.55,12.528,2.00,2
 Thủ Thiêm Zeit River, Nguyễn Cơ Thạch,An Khánh, Quận 2,62.00,1.55,2.00,2
 Vision Bình Tân,,Tân Tạo A, Bình Tân,104.00,6.8,2.00,2
City Garden, Ngô Tất Tố,21, Bình Thạnh,129.00,10.2,3.00,
 The Peak, Nguyễn Lương Bằng,Tân Phú, Quận 7,95.00,5.8,3.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,450.00,32,2.00,2
Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,82.00,3.2,2.00,2
 Constrexim Copac Square, Tôn Đản,13, Quận 4,126.00,3.95,3.00,2
 Constrexim Copac Square, Tôn Đản,13, Quận 4,57.00,1.73,2.00,2
