Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Ehome 5-The Bridgeview, Trần Trọng Cung,Tân Thuận Đông, Quận 7,82.00,3.8,2.00,1
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,50.00,2.25,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,100.00,4.85,3.00,
 Happy Valley, Nguyễn Văn Linh,Tân Phong, Quận 7,38.00,1.85,1.00,2
River Gate, Bến Vân Đồn,6, Quận 4,58.00,2.45,2.00,1
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,83.00,3.75,2.00,
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,48.40,1.36,1.00,2
 Green Town Bình Tân, Số 1,Bình Hưng Hòa B, Bình Tân,145.34,5.782,3.00,1
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,85.00,4.2,2.00,3
 Celadon City, N1,Sơn Kỳ, Tân Phú,107.00,3.6,2.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,66.00,2.55,2.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,64.50,2.59,2.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,173.30,8.2,3.00,2
 An Gia Riverside, Đào Trí,Phú Thuận, Quận 7,137.00,5.49,2.00,3
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,71.90,3.29,2.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,83.00,2.99,3.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,68.00,1.97,2.00,2
 Hưng Ngân Garden,,, Quận 12,68.00,1.97,2.00,2
 Hưng Ngân Garden,,, Quận 12,58.00,2.55,2.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,86.00,4.3,2.00,1
 Celadon City, N1,Sơn Kỳ, Tân Phú,113.90,4.2,3.00,2
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,58.00,2.55,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,95.00,4.388,3.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,125.00,13.9,3.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,38.00,1.9,1.00,2
The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,97.00,6.15,3.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,71.00,2.3,2.00,2
 Lavita Garden,3,Trường Thọ, Thủ Đức,56.00,2.2,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,68.00,2.39,2.00,1
 Lavita Garden,3,Trường Thọ, Thủ Đức,33.00,2.05,1.00,2
Masteri Millennium, Bến Vân Đồn,6, Quận 4,68.76,2.475,2.00,1
 Lavita Garden,3,Trường Thọ, Thủ Đức,55.00,3.2,1.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,68.00,2.3,2.00,1
 Lavita Garden,3,Trường Thọ, Thủ Đức,52.00,1.48,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,68.00,2.6,2.00,2
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,71.00,3.65,2.00,1
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,100.00,5.48,3.00,2
 Happy Valley, Nguyễn Văn Linh,Tân Phong, Quận 7,82.00,3.1,2.00,2
 Him Lam Chợ Lớn, Hậu Giang,, Quận 6,55.00,3.8,1.00,2
The Infiniti Riviera Point,,Tân Phú, Quận 7,84.00,6.3,2.00,1
 De La Sol, Tôn Thất Thuyết,1, Quận 4,90.00,1.53,2.00,2
 The Morning Star Plaza, Quốc Lộ 13,26, Bình Thạnh,80.00,2.8,3.00,2
Âu Cơ Tower, Âu Cơ,"Tân Thành, Tân Phú",,70.00,2.6,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,70.00,2.65,2.00,2
Carillon 2, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,120.00,13.5,3.00,2
 Diamond Island,,Bình Trưng Tây, Quận 2,89.00,7.35,2.00,2
 Diamond Island,,Bình Trưng Tây, Quận 2,69.00,2.5,2.00,2
Vinhomes Grand Park, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,69.00,2.5,2.00,2
Vinhomes Grand Park, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,78.00,3.5,2.00,2
 Grand Riverside, Bến Vân Đồn,2, Quận 4,63.00,3.3,2.00,2
An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,106.00,4.4,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,141.00,7.45,3.00,2
 Garden Court 1,,, Quận 7,70.00,2.447,2.00,2
 La Partenza, Lê Văn Lương,, Nhà Bè,141.00,7.45,3.00,2
 Garden Court 1,,, Quận 7,70.00,2.447,2.00,2
 La Partenza, Lê Văn Lương,, Nhà Bè,118.00,14,2.00,2
 Mỹ Khánh 3, Nguyễn Đức Cảnh,Tân Phong, Quận 7,148.00,6.1,3.00,
 Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,121.00,6.7,2.00,
 The Panorama, Tôn Dật Tiên,Tân Phong, Quận 7,130.00,6.2,2.00,1
 Green Valley, Tôn Dật Tiên,Tân Phú, Quận 7,55.00,2,1.00,1
 Kikyo Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,120.00,13.5,3.00,1
 The Metropole,,An Khánh, Quận 2,148.00,8.6,3.00,2
The View Riviera Point, Nguyễn Văn Tưởng,Tân Phú, Quận 7,34.71,2.15,1.00,3
 Elysian, Lò Lu,Trường Thạnh, Quận 9,65.00,2.18,2.00,1
 Tecco Green Nest, Phan Văn Hớn,Tân Thới Nhất, Quận 12,70.00,1.98,2.00,2
 Orchard Park View, Hồng Hà,9, Phú Nhuận,73.00,2.85,2.00,2
 Bàu Cát II,,, Tân Bình,84.00,3.3,3.00,2
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,73.00,4.2,2.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,107.00,8.5,3.00,2
 Urban Hill, Nguyễn Văn Linh,Tân Phong, Quận 7,78.00,5.1,2.00,
 Urban Hill, Nguyễn Văn Linh,Tân Phong, Quận 7,83.00,3.3,3.00,2
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,83.00,3.3,3.00,2
 An Gia Garden, Tân Kỳ Tân Quý,Tân Sơn Nhì, Tân Phú,138.00,6.4,3.00,2
 PN-Techcons, Hoa Sứ,7, Phú Nhuận,65.00,2.2,2.00,2
 8X Plus Trường Chinh, Trường Chinh,Tân Thới Nhất, Quận 12,85.00,3.2,2.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,78.00,4.175,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,50.00,3.45,1.00,2
 Xi Grand Court,,14, Quận 10,68.00,1.95,2.00,1
 I-Home 1, Phạm Văn Chiêu,14, Gò Vấp,97.00,6,2.00,2
 Newton Residence, Trương Quốc Dung,8, Phú Nhuận,75.00,4.6,2.00,2
 Newton Residence, Trương Quốc Dung,8, Phú Nhuận,106.00,4.25,3.00,2
Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,75.00,4.6,2.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,121.00,2.9,3.00,2
 Hoàng Anh An Tiến - Gold House, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,120.00,8.5,3.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,65.00,1.6,2.00,2
 Tecco Green Nest, Phan Văn Hớn,Tân Thới Nhất, Quận 12,100.00,5.2,2.00,2
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,72.00,4.8,2.00,2
 Park Legend, Hoàng Văn Thụ,, Tân Bình,125.00,7.5,3.00,2
 Cosmo City, Nguyễn Thị Thập,Tân Phú, Quận 7,50.00,1.4,1.00,2
 I-Home 1,,14, Gò Vấp,54.00,2,1.00,2
 Lotus Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,79.00,3.7,2.00,1
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,79.00,3.7,2.00,2
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,78.00,4.4,2.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,125.00,19,3.00,2
 Zeit River Thủ Thiêm ,,An Khánh, Quận 2,104.00,26,3.00,2
 The Metropole,,An Khánh, Quận 2,128.00,3.75,3.00,2
 La Casa, Đào Trí,Phú Thuận, Quận 7,286.00,85,4.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,150.00,15,3.00,3
 Estella Heights, Song Hành,An Phú, Quận 2,107.00,7.45,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,145.00,10,3.00,2
 Waterina Suites,,Thạnh Mỹ Lợi, Quận 2,75.00,4,2.00,2
 Golden Mansion, Phổ Quang,9, Phú Nhuận,65.00,3.4,2.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,138.00,46,3.00,2
 The Metropole,,An Khánh, Quận 2,58.00,3.1,2.00,2
 The Botanica, Phổ Quang,2, Tân Bình,73.00,1.8,2.00,1
 Citi Home,,Cát Lái, Quận 2,74.00,3.9,2.00,2
 Botanica Premier, Hồng Hà,2, Tân Bình,48.00,1.8,1.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,49.00,2.8,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,49.00,3,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,49.00,3,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,49.00,3,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,49.00,3,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,86.00,3.3,2.00,1
 Him Lam Chợ Lớn,,, Quận 6,36.00,2,1.00,2
Elysian, Lò Lu,Trường Thạnh, Quận 9,103.00,7.6,3.00,1
Kingdom 101, Tô Hiến Thành,14, Quận 10,135.00,21.6,3.00,2
 Zeit River Thủ Thiêm , Trần Bạch Đằng,An Khánh, Quận 2,49.00,2.7,1.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,57.00,2.9,2.00,1
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,61.00,2.22,2.00,1
 Thủ Thiêm Garden, Liên Phường,Phước Long B, Quận 9,49.00,2.7,1.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,86.00,7.7,2.00,1
Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,77.31,7.42,2.00,2
De La Sol, Tôn Thất Thuyết,1, Quận 4,79.00,3.3,2.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,93.00,8.93,3.00,2
De La Sol, Tôn Thất Thuyết,1, Quận 4,66.00,3.5,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,100.00,3.5,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,150.00,8.5,5.00,1
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,90.00,6.199,3.00,2
 The Tresor, Bến Vân Đồn,12, Quận 4,79.70,4.982,2.00,2
 Celesta Rise, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,63.20,1.78,2.00,2
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,87.00,4.55,3.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,52.70,1.65,2.00,2
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,60.00,4,2.00,1
Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,98.00,5.6,2.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,56.83,1.43,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,85.00,6.65,2.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,107.00,9.5,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,140.00,26.7,2.00,2
 Vincom Center TP HCM, Lê Thánh Tôn,Bến Nghé, Quận 1,204.00,15.5,4.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,66.00,2.5,2.00,4
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,53.00,2.1,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,82.00,5.55,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,53.00,1.9,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,110.00,14,3.00,1
 Vinhomes Golden River Ba Son,,Bến Nghé, Quận 1,271.00,20,4.00,
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,76.00,3.95,2.00,4
 The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,104.00,7.2,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,98.00,5.95,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,88.00,4.35,2.00,2
 Tropic Garden,66,Thảo Điền, Quận 2,84.00,5.717,2.00,2
 The Signature, Nguyễn Lương Bằng,Tân Phú, Quận 7,98.00,5.95,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,88.00,4.35,2.00,2
 Tropic Garden,66,Thảo Điền, Quận 2,84.00,5.717,2.00,2
 The Signature, Nguyễn Lương Bằng,Tân Phú, Quận 7,82.00,3.6,2.00,2
 Happy Residence,,Tân Phú, Quận 7,113.00,5.05,3.00,2
Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,83.00,5.2,2.00,1
 Diamond Island,,Bình Trưng Tây, Quận 2,95.00,6,2.00,2
 Thảo Điền Pearl, Quốc Hương,Thảo Điền, Quận 2,101.00,5.3,2.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,148.00,10.1,3.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,60.00,4.6,1.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,112.00,5.2,3.00,1
 Tropic Garden,66,Thảo Điền, Quận 2,130.00,12.5,3.00,3
 Estella Heights, Song Hành,An Phú, Quận 2,72.00,1.77,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,94.00,8,2.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,86.00,4.6,2.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,80.00,2.9,2.00,2
The Gold View, Bến Vân Đồn,1, Quận 4,50.00,1.6,1.00,2
Investco Babylon, Âu Cơ,Tân Thành, Tân Phú,73.00,4.8,2.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,50.00,1.6,1.00,2
Investco Babylon, Âu Cơ,Tân Thành, Tân Phú,73.00,4.8,2.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,92.00,3.1,3.00,2
Topaz Elite, Cao Lỗ,4, Quận 8,33.00,2.1,1.00,2
The Tresor, Bến Vân Đồn,12, Quận 4,71.00,3.35,2.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,53.00,1.68,2.00,2
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,54.00,1.9,2.00,1
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,37.00,2.6,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,124.00,8,3.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,58.00,4.4,1.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,69.70,4.4,2.00,2
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,110.00,2.5,3.00,2
 Hoàng Anh An Tiến - Gold House, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,103.00,5.5,3.00,2
 Garden Court 1,,, Quận 7,88.00,3.15,3.00,2
 Sky Garden I, Phạm Văn Nghị,Tân Phong, Quận 7,64.00,2.6,2.00,2
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,97.00,3.3,3.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,65.00,4.7,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,138.00,6,3.00,2
 Imperia An Phú,,An Phú, Quận 2,72.00,3,2.00,2
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,50.00,1.6,1.00,2
Investco Babylon, Âu Cơ,Tân Thành, Tân Phú,73.00,4.8,2.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,65.00,4,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,72.00,3,2.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,97.00,3.7,2.00,2
 Him Lam Chợ Lớn,,, Quận 6,200.00,8.5,4.00,2
 The PegaSuite 2,,6, Quận 8,74.00,1.9,2.00,
 KDC An Sương, Nguyễn Văn Quá,Tân Hưng Thuận, Quận 12,77.00,4.049,2.00,
 Khu phức hợp 152 Điện Biên Phủ, Điện Biên Phủ,25, Bình Thạnh,74.00,3.8,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,84.00,9,2.00,2
 The Nassim,11,Thảo Điền, Quận 2,98.00,5.5,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,108.00,6.5,2.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,85.00,3.5,2.00,2
 The Peak, Nguyễn Lương Bằng,Tân Phú, Quận 7,95.00,4.9,2.00,2
 Imperia An Phú,,"An Phú, Quận 2", Hồ Chí Minh,105.00,4.5,3.00,2
 C3 PARCSpring, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,92.90,6,3.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,117.00,4.65,3.00,
 Green View, Nguyễn Lương Bằng,Tân Phú, Quận 7,97.00,3.3,3.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,65.00,4.7,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,138.00,6,3.00,2
 Imperia An Phú,,An Phú, Quận 2,118.00,5.78,2.00,2
 Grand View, Nguyễn Đức Cảnh,Tân Phong, Quận 7,82.00,3.8,2.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,75.00,4.5,2.00,2
 De Capella,,An Khánh, Quận 2,110.00,6.49,3.00,2
 Nam Phúc - Le Jardin,17,Tân Phú, Quận 7,121.00,7.25,2.00,2
 The Panorama, Tôn Dật Tiên,Tân Phong, Quận 7,55.00,2.65,1.00,1
 C3 PARCSpring, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,140.00,7.49,3.00,1
 Garden Court 1,,Tân Phong, Quận 7,118.00,5.79,3.00,2
 Cảnh Viên 1,,Tân Phú, Quận 7,118.00,5.68,3.00,2
 Mỹ Phúc, Nguyễn Đức Cảnh,Tân Phong, Quận 7,65.00,1.9,2.00,2
Dream Home Residence, Số 59,13, Gò Vấp,30.00,1.888,1.00,2
River Gate, Bến Vân Đồn,6, Quận 4,151.00,8.45,3.00,1
 Garden Plaza 1,,"Tân Phong, Quận 7",,60.00,3.2,1.00,
 Satra Eximland,,, Phú Nhuận,57.00,2.15,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,70.00,2.35,2.00,1
 Botanic Towers, Nguyễn Thượng Hiền,5, Phú Nhuận,53.32,1.95,2.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,66.00,2.45,2.00,1
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,52.00,1.95,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,171.00,12.5,3.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,60.00,3.3,2.00,2
 Moonlight Centre Point, Tên Lửa,Bình Trị Đông, Bình Tân,75.00,2.35,3.00,2
 Tô Ký Tower,,Trung Mỹ Tây, Quận 12,62.10,3,2.00,2
 155 Nguyễn Chí Thanh, Nguyễn Chí Thanh,9, Quận 5,54.00,1.7,2.00,1
Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,30.00,1.27,1.00,1
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,50.00,1.4,1.00,1
 I-Home 1, Phạm Văn Chiêu,, Gò Vấp,148.00,7.8,3.00,1
 The View Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,56.00,2.4,2.00,3
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,132.00,12,3.00,1
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,53.00,2.15,2.00,3
Osimi Tower, Lê Đức Thọ,15, Gò Vấp,148.00,12,3.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,97.00,4.5,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,104.00,9.315,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,85.00,6,3.00,2
 Orchard Park View, Hồng Hà,9, Phú Nhuận,97.00,4.5,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,104.00,9.315,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,85.00,6,3.00,2
 Orchard Park View, Hồng Hà,9, Phú Nhuận,76.00,4,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,98.00,6.15,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,124.00,8.2,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,71.00,3,2.00,2
 Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,135.00,6.3,3.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,140.00,7.8,3.00,3
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,140.00,6.8,3.00,3
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,135.00,7.5,3.00,3
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,104.00,9,2.00,4
 Estella Heights, Song Hành,An Phú, Quận 2,472.00,31,5.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,104.00,8.5,2.00,4
 Estella Heights, Song Hành,An Phú, Quận 2,427.00,41,5.00,2
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,472.00,31,5.00,4
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,143.87,17,3.00,5
 D'Edge Thảo Điền, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,75.00,4.5,2.00,
 ICON 56, Bến Vân Đồn,12, Quận 4,187.00,22,4.00,2
 D'Edge Thảo Điền, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,74.00,1.65,2.00,
 13B Conic Phong Phú, Nguyễn Văn Linh, Phong Phú, Bình Chánh,74.00,1.65,2.00,2
 13B Conic Phong Phú, Nguyễn Văn Linh, Phong Phú, Bình Chánh,108.00,8.8,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,97.00,4.5,2.00,2
 Happy Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,67.00,2.68,2.00,2
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,155.00,11,3.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,67.00,3,2.00,3
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,70.00,3.75,2.00,2
 Botanica Premier, Hồng Hà,2, Tân Bình,95.00,4.988,3.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,143.00,19.6,4.00,2
 Gateway Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,55.00,1.65,2.00,3
 Flora Anh Đào, Đỗ Xuân Hợp,Phước Long B, Quận 9,55.00,1.84,1.00,1
 Fuji Residence, Đỗ Xuân Hợp,"Phước Long B, Quận 9",,71.00,2.8,2.00,1
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,56.00,1.8,1.00,2
 Fuji Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,56.00,2,1.00,1
 Kikyo Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,68.00,2.8,2.00,1
 Kikyo Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,68.00,2.5,2.00,
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,55.00,23,2.00,2
Grand Marina Saigon,,Bến Nghé, Quận 1,59.50,1.69,2.00,1
Đường Phan Huy Ích, Phan Huy Ích,15, Tân Bình,82.00,4.8,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,98.00,5.35,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,59.50,1.69,2.00,2
Đường Phan Huy Ích, Phan Huy Ích,15, Tân Bình,82.00,4.8,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,98.00,5.35,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,28.00,2,1.00,2
River Gate, Bến Vân Đồn,6, Quận 4,46.00,3.2,1.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,60.00,1.8,2.00,1
 4S Riverside Linh Đông,30,Linh Đông, Thủ Đức,76.00,2.2,2.00,2
 4S Riverside Linh Đông,,, Thành phố Thủ Đức,75.00,2,2.00,2
4S Riverside Linh Đông, Số 30,Linh Đông, Thủ Đức,68.00,2.4,2.00,2
 Moonlight Residences, Đặng Văn Bi,Bình Thọ, Thủ Đức,68.00,2.25,2.00,2
 Lavita Garden,3,Trường Thọ, Thủ Đức,110.00,4.8,3.00,2
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,81.00,4.65,2.00,2
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,68.00,3.4,2.00,2
 C3 PARCSpring, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,46.50,1.7,2.00,2
Số 3 Đường Đinh Bộ Lĩnh, Đinh Bộ Lĩnh,15, Bình Thạnh,101.78,4.25,3.00,1
Đường Nguyễn Duy Trinh, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,76.12,3.3,2.00,2
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,75.00,2.85,2.00,2
 Lavida Plus, Nguyễn Văn Linh,Tân Phong, Quận 7,40.00,2.25,2.00,2
Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,66.00,2.37,2.00,2
